####################################################
## zoolog thesaurus for bone elements.
## Language French
## encoding UTF-8
####################################################
Cranium;Maxilla;Occipitale;Interparietale;Basisphenoidale;Presphenoidale;Sphenoidale;Pterygoideum;Temporale;Parietale;Frontale;Processus cornualis;Ethmoidale;Jugale;Vomer;Nasale;Lacrimale;Incisivum;Rostrale;Palatinum;Zygomaticum;Hyoideum;Mandibula;Dente;Molar;Incisivum 1 inferior;Incisivum 2 inferior;Incisivum 3 inferior;Incisivum 1 superior;Incisivum 2 superior;Incisivum 3 superior;Caninum inferior;Caninum superior;Premolar 1 inferior;Premolar 2 inferior;Premolar 3 inferior;Premolar 4 inferior;Premolar 1 superior;Premolar 2 superior;Premolar 3 superior;Premolar 4 superior;Molar 1 inferior;Molar 2 inferior;Molar 3 inferior;Molar 1 superior;Molar 2 superior;Molar 3 superior;Incisivum deciduus 1 inferior;Incisivum deciduus 2 inferior;Incisivum deciduus 3 inferior;Incisivum deciduus 1 superior;Incisivum deciduus 2 superior;Incisivum deciduus 3 superior;Premolar deciduus 1 inferior;Premolar deciduus 2 inferior;Premolar deciduus 3 inferior;Premolar deciduus 4 inferior;Premolar deciduus 1 superior;Premolar deciduus 2 superior;Premolar deciduus 3 superior;Premolar deciduus 4 superior;Atlas;Axis;Vertebra cervicale;Vertebra thoracica;Vertebra lumbale;Vertebra caudale;Sacrum;Costa;Sternum;Clavicula;Scapula;Humerus;Radius;Ulna;Carpale;Metacarpus;Metacarpus I;Metacarpus II;Metacarpus III;Metacarpus IV;Metacarpus V;Pelvis;Femur;Patella;Tibia;Fibula;Calcaneum;Astragalus;Tarsale;Centrotarsale;Metatarsus;Metatarsus I;Metatarsus II;Metatarsus III;Metatarsus IV;Metatarsus V;Phalanx proximalis anterior;Phalanx proximalis;Phalanx proximalis posterior;Phalanx media anterior;Phalanx media;Phalanx media posterior;Phalanx distalis anterior;Phalanx distalis;Phalanx distalis posterior;Sesamoideum;Quadratum;Synsacrum;Pygostylus;Coracoideum;Furcula;Carpometacarpus;Digitus alularis;Digitus major;Digitus minor;Tibiotarsus;Tarsometatarsus;Digitus 1;Digitus 2;Digitus 3;Digitus 4
Crâne;Maxillaire;Occipital;Interpariétal;Basisphénoïde;Présphénoïde;Sphénoïde;Ptérigoïde;Temporal;Pariétal;Frontal;Cheville osseuse;Ethmoïde;Jugal;Vomer;Nasal;Lacrymal;Incisif;Rostral;Palatin;Zygomatique;Hyoïde;Mandibule;Dent;Molaire;Incisive 1 inférieure;Incisive 2 inférieure;Incisive 3 inférieure;Incisive 1 supérieure;Incisive 2 supérieure;Incisive 3 supérieure;Canine inférieure;Canine supérieure;Prémolaire 1 inférieure;Prémolaire 2 inférieure;Prémolaire 3 inférieure;Prémolaire 4 inférieure;Prémolaire 1 supérieure;Prémolaire 2 supérieure;Prémolaire 3 supérieure;Prémolaire 4 supérieure;Molaire 1 inférieure;Molaire 2 inférieure;Molaire 3 inférieure;Molaire 1 supérieure;Molaire 2 supérieure;Molaire 3 supérieure;Incisive déciduale 1 inférieure;Incisive déciduale 2 inférieure;Incisive déciduale 3 inférieure;Incisive déciduale 1 supérieure;Incisive déciduale 2 supérieure;Incisive déciduale 3 supérieure;Prémolaire déciduale 1 inférieure;Prémolaire déciduale 2 inférieure;Prémolaire déciduale 3 inférieure;Prémolaire déciduale 4 inférieure;Prémolaire déciduale 1 supérieure;Prémolaire déciduale 2 supérieure;Prémolaire déciduale 3 supérieure;Prémolaire déciduale 4 supérieure;Atlas;Axis;Vertèbre cervicale;Vertèbre thoracique;Vertèbre lombaire;Vertèbre caudale;Sacrum;Côte;Sternum;Clavicule;Scapula;Humérus;Radius;Ulna;Carpe;Métacarpe;Métacarpe 1;Métacarpe 2;Métacarpe 3;Métacarpe 4;Métacarpe 5;Coxal;Fémur;Patella;Tibia;Fibula;Calcanéus;Talus;Tarse;Centrotarsale;Métatarse;Métatarse 1;Métatarse 2;Métatarse 3;Métatarse 4;Métatarse 5;Phalange 1 thoracique;Phalange 1;Phalange 1 pelvienne;Phalange 2 thoracique;Phalange 2;Phalange 2 pelvienne;Phalange 3 thoracique;Phalange 3;Phalange 3 pelvienne;;Carré;Synsacrum;Pygostyle;Coracoïde;Furcula;Carpométacarpe;Doigt alulaire;Doigt majeur;Doigt mineur;Tibiotarse;Tarsométatarse;Doigt 1;Doigt 2;Doigt 3;Doigt 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Membre-anterieur humerus;Membre-anterieur radius;cubitus;;Metacarpe Canon;;;;;;Pelvis;Membre-posterieur Femur;;Membre-posterieur tibia;;Tarse calcaneum;Tarse Talus;;;Metatarse Canon;;;;;;Phalange 1 antérieure;;Phalange 1 postérieure;Phalange 2 antérieure;;Phalange 2 postérieure;Phalange 3 antérieure;;Phalange 3 postérieure;;;;;;;;;;;;;;;;
