#############################################
## zoolog thesaurus for bone elements.
## Language Catalan
## encoding UTF-8
#############################################
Cranium;Maxilla;Occipitale;Interparietale;Basisphenoidale;Presphenoidale;Sphenoidale;Pterygoideum;Temporale;Parietale;Frontale;Processus cornualis;Ethmoidale;Jugale;Vomer;Nasale;Lacrimale;Incisivum;Rostrale;Palatinum;Zygomaticum;Hyoideum;Mandibula;Dente;Molar;Incisivum 1 inferior;Incisivum 2 inferior;Incisivum 3 inferior;Incisivum 1 superior;Incisivum 2 superior;Incisivum 3 superior;Caninum inferior;Caninum superior;Premolar 1 inferior;Premolar 2 inferior;Premolar 3 inferior;Premolar 4 inferior;Premolar 1 superior;Premolar 2 superior;Premolar 3 superior;Premolar 4 superior;Molar 1 inferior;Molar 2 inferior;Molar 3 inferior;Molar 1 superior;Molar 2 superior;Molar 3 superior;Incisivum deciduus 1 inferior;Incisivum deciduus 2 inferior;Incisivum deciduus 3 inferior;Incisivum deciduus 1 superior;Incisivum deciduus 2 superior;Incisivum deciduus 3 superior;Premolar deciduus 1 inferior;Premolar deciduus 2 inferior;Premolar deciduus 3 inferior;Premolar deciduus 4 inferior;Premolar deciduus 1 superior;Premolar deciduus 2 superior;Premolar deciduus 3 superior;Premolar deciduus 4 superior;Atlas;Axis;Vertebra cervicale;Vertebra thoracica;Vertebra lumbale;Vertebra caudale;Sacrum;Costa;Sternum;Clavicula;Scapula;Humerus;Radius;Ulna;Carpale;Metacarpus;Metacarpus I;Metacarpus II;Metacarpus III;Metacarpus IV;Metacarpus V;Pelvis;Femur;Patella;Tibia;Fibula;Calcaneum;Astragalus;Tarsale;Centrotarsale;Metatarsus;Metatarsus I;Metatarsus II;Metatarsus III;Metatarsus IV;Metatarsus V;Phalanx proximalis anterior;Phalanx proximalis;Phalanx proximalis posterior;Phalanx media anterior;Phalanx media;Phalanx media posterior;Phalanx distalis anterior;Phalanx distalis;Phalanx distalis posterior;Sesamoideum;Quadratum;Synsacrum;Pygostylus;Coracoideum;Furcula;Carpometacarpus;Digitus alularis;Digitus major;Digitus minor;Tibiotarsus;Tarsometatarsus;Digitus 1;Digitus 2;Digitus 3;Digitus 4
Crani;Maxil·lar;Occipital;Interparietal;Basiesfenoide;Presfenoide;Esfenoide;Pterigoide;Temporal;Parietal;Frontal;Banya;Etmoide;Jugal;Vòmer;Nasal;Lacrimal;Incisiu;Rostral;Palatí;Zigomàtic;Hioide;Mandíbula;Dent;Molar;incisiva 1 inferior;incisiva 2 inferior;incisiva 3 inferior;incisiva 1 superior;incisiva 2 superior;incisiva 3 superior;canina inferior;canina superior;premolar 1 inferior;premolar 2 inferior;premolar 3 inferior;premolar 4 inferior;premolar 1 superior;premolar 2 superior;premolar 3 superior;premolar 4 superior;molar 1 inferior;molar 2 inferior;molar 3 inferior;molar 1 superior;molar 2 superior;molar 3 superior;incisiva decidual 1 inferior;incisiva decidual 2 inferior;incisiva decidual 3 inferior;incisiva decidual 1 superior;incisiva decidual 2 superior;incisiva decidual 3 superior;premolar decidual 1 inferior;premolar decidual 2 inferior;premolar decidual 3 inferior;premolar decidual 4 inferior;premolar decidual 1 superior;premolar decidual 2 superior;premolar decidual 3 superior;premolar decidual 4 superior;Atles;Axis;Vèrtebra cervical;Vèrtebra toràcica;Vèrtebra lumbar;Vèrtebra caudal;Sacre;Costella;Esternó;Clavícula;Escàpula;Húmer;Radi;Ulna;Carpià;Metacarp;metacarp 1;metacarp 2;metacarp 3;metacarp 4;metacarp 5;Coxal;Fèmur;Patel·la;Tíbia;Fíbula;Calcani;Astràgal;Tarsià;Centrotarsal;Metatars;metatars 1;metatars 2;metatars 3;metatars 4;metatars 5;falange 1 anterior;falange 1;falange 1 posterior;falange 2 anterior;falange 2;falange 2 posterior;falange 3 anterior;falange 3;falange 3 posterior;Sesamoide;Quadrat;Sinsacre;Pigòstil;Coracoide;Fúrcula;Carpometacarp;Dit alular;Dit major;Dit menor;Tibiotars;Tarsometatars;Dígit 1;Dígit 2;Dígit 3;Dígit 4
;;;;;;;;;;;Procés cornual;;;;;;;;;;;;;;inc 1 inf;inc 2 inf;inc 3 inf;inc 1 sup;inc 2 sup;inc 3 sup;can inf;can sup;p1 inf;p2 inf;p3 inf;p4 inf;p1 sup;p2 sup;p3 sup;p4 sup;mol 1 inf;mol 2 inf;mol 3 inf;mol 1 sup;mol 2 sup;mol 3 sup;di1 inf;di2 inf;di3 inf;di1 sup;di2 sup;di3 sup;dp1 inf;dp2 inf;dp3 inf;dp4 inf;dp1 sup;dp2 sup;dp3 sup;dp4 sup;;;;;;;;;;;esc;;;cúbit;Carpal;;metacarp I;metacarp II;metacarp III;metacarp IV;metacarp V;pelvis;;patel.;TB;;;astr;Tarsal;navicular;;metatars I;metatars II;metatars III;metatars IV;metatars V;fal 1 ant;fal 1;fal 1 post;fal 2 ant;fal 2;fal 2 post;fal 3 ant;fal 3;fal 3 post;Sesamoideu;;;;;;Carp-metacarp;;;;;Tars-metatars;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pmol 1 inf;pmol 2 inf;pmol 3 inf;pmol 4 inf;pmol 1 sup;pmol 2 sup;pmol 3 sup;pmol 4 sup;M1 inf;M2 inf;M3 inf;M1 sup;M2 sup;M3 sup;;;;;;;;;;;;;;;;;;;;;;;;;escap;;;;;;;;;;;pel.;;;;;;;;;;;;;;;F1 ant;F1;F1 post;F2 ant;F2;F2 post;F3 ant;F3;F3 post;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pm 1 inf;pm 2 inf;pm 3 inf;pm 4 inf;pm 1 sup;pm 2 sup;pm 3 sup;pm 4 sup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;falange 1 ant;falange 1 ant/post;falange 1 post;falange 2 ant;falange 2 ant/post;falange 2 post;falange 3 ant;falange 3 ant/post;falange 3 post;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prem 1 inf;prem 2 inf;prem 3 inf;prem 4 inf;prem 1 sup;prem 2 sup;prem 3 sup;prem 4 sup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fal 1 ant/post;;;fal 2 ant/post;;;fal 3 ant/post;;;;;;;;;;;;;;;;;
