#############################################
## zoolog thesaurus for bone elements.
## Language Spanish
## encoding UTF-8
#############################################
Cranium;Maxilla;Occipitale;Interparietale;Basisphenoidale;Presphenoidale;Sphenoidale;Pterygoideum;Temporale;Parietale;Frontale;Processus cornualis;Ethmoidale;Jugale;Vomer;Nasale;Lacrimale;Incisivum;Rostrale;Palatinum;Zygomaticum;Hyoideum;Mandibula;Dente;Molar;Incisivum 1 inferior;Incisivum 2 inferior;Incisivum 3 inferior;Incisivum 1 superior;Incisivum 2 superior;Incisivum 3 superior;Caninum inferior;Caninum superior;Premolar 1 inferior;Premolar 2 inferior;Premolar 3 inferior;Premolar 4 inferior;Premolar 1 superior;Premolar 2 superior;Premolar 3 superior;Premolar 4 superior;Molar 1 inferior;Molar 2 inferior;Molar 3 inferior;Molar 1 superior;Molar 2 superior;Molar 3 superior;Incisivum deciduus 1 inferior;Incisivum deciduus 2 inferior;Incisivum deciduus 3 inferior;Incisivum deciduus 1 superior;Incisivum deciduus 2 superior;Incisivum deciduus 3 superior;Premolar deciduus 1 inferior;Premolar deciduus 2 inferior;Premolar deciduus 3 inferior;Premolar deciduus 4 inferior;Premolar deciduus 1 superior;Premolar deciduus 2 superior;Premolar deciduus 3 superior;Premolar deciduus 4 superior;Atlas;Axis;Vertebra cervicale;Vertebra thoracica;Vertebra lumbale;Vertebra caudale;Sacrum;Costa;Sternum;Clavicula;Scapula;Humerus;Radius;Ulna;Carpale;Metacarpus;Metacarpus I;Metacarpus II;Metacarpus III;Metacarpus IV;Metacarpus V;Pelvis;Femur;Patella;Tibia;Fibula;Calcaneum;Astragalus;Tarsale;Centrotarsale;Metatarsus;Metatarsus I;Metatarsus II;Metatarsus III;Metatarsus IV;Metatarsus V;Phalanx proximalis anterior;Phalanx proximalis;Phalanx proximalis posterior;Phalanx media anterior;Phalanx media;Phalanx media posterior;Phalanx distalis anterior;Phalanx distalis;Phalanx distalis posterior;Sesamoideum;Quadratum;Synsacrum;Pygostylus;Coracoideum;Furcula;Carpometacarpus;Digitus alularis;Digitus major;Digitus minor;Tibiotarsus;Tarsometatarsus;Digitus 1;Digitus 2;Digitus 3;Digitus 4
Cráneo;Maxilar;Occipital;Interparietal;Basiesfenoide;Presfenoide;Esfenoide;Pterigoideo;Temporal;Parietal;Frontal;Cuerno;Etmoides;Yugal;Vómer;Nasal;Lagrimal;Incisivo;Rostral;Palatino;Cigomático;Hioides;Mandíbula;Diente;Molar;incisivo 1 inferior;incisivo 2 inferior;incisivo 3 inferior;incisivo 1 superior;incisivo 2 superior;incisivo 3 superior;canino inferior;canino superior;premolar 1 inferior;premolar 2 inferior;premolar 3 inferior;premolar 4 inferior;premolar 1 superior;premolar 2 superior;premolar 3 superior;premolar 4 superior;molar 1 inferior;molar 2 inferior;molar 3 inferior;molar 1 superior;molar 2 superior;molar 3 superior;incisivo deciduo 1 inferior;incisivo deciduo 2 inferior;incisivo deciduo 3 inferior;incisivo deciduo 1 superior;incisivo deciduo 2 superior;incisivo deciduo 3 superior;premolar deciduo 1 inferior;premolar deciduo 2 inferior;premolar deciduo 3 inferior;premolar deciduo 4 inferior;premolar deciduo 1 superior;premolar deciduo 2 superior;premolar deciduo 3 superior;premolar deciduo 4 superior;Atlas;Axis;Vértebra cervical;Vértebra torácica;Vértebra lumbar;Vértebra caudal;Sacro;Costilla;Esternón;Clavícula;Escápula;Húmero;Radio;Cúbito;Carpiano;Metacarpo;metacarpo 1;metacarpo 2;metacarpo 3;metacarpo 4;metacarpo 5;Coxal;Fémur;Patela;Tibia;Fíbula;Calcáneo;Astrágalo;Tarsiano;Centrotarsiano;Metatarso;metatarso 1;metatarso 2;metatarso 3;metatarso 4;metatarso 5;falange1 anterior;falange1;falange1 posterior;falange2 anterior;falange2;falange2 posterior;falange3 anterior;falange3;falange3 posterior;Sesamoideo;Cuadrado;Sinsacro;Pigóstilo;Coracoides;Fúrcula;Carpometacarpo;Dedo alular;Dedo mayor;Dedo menor;Tibiotarso;Tarsometatarso;Dígito 1;Dígito 2;Dígito 3;Dígito 4
cra;;;;;;;;;;;Clavija ósea;;;;;;;;;;Hioide;mandi;;;;;;;;;;;pmol 1 inf;pmol 2 inf;pmol 3 inf;pmol 4 inf;pmol 1 sup;pmol 2 sup;pmol 3 sup;pmol 4 sup;mol 1 inf;mol 2 inf;mol 3 inf;mol 1 sup;mol 2 sup;mol 3 sup;;;;;;;;;;;;;;;;;;;;;SA;;;;escap.;;;ulna;Carpal;;;;;;;pelvis;;rótula;;;;TA;Tarsal;Centrotarsal;;;;;;;fal 1 ant;fal 1;fal 1 post;fal 2 ant;fal 2;fal 2 post;fal 3 ant;fal 3;fal 3 post;sesam;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;mandib;;;;;;;;;;;pm 1 inf;pm 2 inf;pm 3 inf;pm 4 inf;pm 1 sup;pm 2 sup;pm 3 sup;pm 4 sup;M1 inf;M2 inf;M3 inf;M1 sup;M2 sup;M3 sup;;;;;;;;;;;;;;;;;;;;;;;;;esc.;;;;;;;;;;;CO;;rót.;;;;tal;;Navicular;;;;;;;F1 ant;F1;F1 post;F2 ant;F2;F2 post;F3 ant;F3;F3 post;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prem 1 inf;prem 2 inf;prem 3 inf;prem 4 inf;prem 1 sup;prem 2 sup;prem 3 sup;prem 4 sup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;Pelv;;RO;;;;;;;;;;;;;falange 1 ant;falange 1 ant/post;falange 1 post;falange 2 ant;falange 2 ant/post;falange 2 post;falange 3 ant;falange 3 ant/post;falange 3 post;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fal 1 ant/post;;;fal 2 ant/post;;;fal 3 ant/post;;;;;;;;;;;;;;;;;
