NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC
n3601;280112;equus;RA;ext dist;l;c;;fissures;1;f;;42;120;NA3;;;;;;4;;;;;55;34,2;;;;;;;;;;;;;;;;;;
n2447;270049;bota;cox;acet + pubis;r;c;;fissures, carnivore, roots;2;f;fem;12;120;NR;;;;;;1;;52,7;12;22,2;;;;;;;;;;;;;;;;;;;;
n3912;280408;sudo;P2;s;;c;;weathering;1;fv;;12;13;Vand;;;;;;4;20,7;15,3;14,7;13,1;13,3;12,7;;;;;;;;;;;;;;;;;;
n955;270118;bota;P1;s;;c;;roots;1;f;;24;120;NR;;;;;;1;59,8;31,5;34,1;25,7;31,5;22,2;;;;;;;;;;;;;;;;;;
n1301;270035;cafa;HU;s;l;c;;burnt, carnivore;1;f;;12;15;indet;;;;;;1;143,4;138,3;26,7;33,7;11;26,5;20,6;;19;;;;;;;;;;;;;;;
n3298;170077;oc;cox;acet + isquion;l;c;si;fissures, roots;2;f;fem;12;120;Med;;;;;;3;;;6,6;8,2;;;;;;;;;;;;;;;;;;;;
n8163;290109;oc;cox;s;l;c;;carnivore;1;nf;fem;24;48;NR;;;;;;6;28,8;25,3;5,6;8,2;14,7;;;;;;;;;;;;;;;;;;;
n9143;290208;bota;MT;ext prox;;c;;fissures;1;;;;;NR;;;;;;7;;43,1;41,4;;;;;;;;;;;;;0,0467663051418202;0,0315396116123982;;;;;;;
n5609;280216;oc;FE;g-s;r;c;si;fissures, roots;1;f;;42;120;NA3;;;;;;5;187;182,5;44,9;20,5;16,4;;50,3;;;;;;;;;;;;;;;;;
n8715;290409;bota;skull;max: p4-m3;r;c;si;fissures;2;m3 ++;;60;96;NA1;;;;;;6;27,5;24,5;;;;;;;;;;;;;;;;;;;;;;
n10910;290432;bota;MT;diaf prox;r;c;;fissures, weathering;1;;;24;120;NA1;;;;;;9;;43,7;40,5;;;;;;;;;;;;;0,0527704719515104;0,0219942937061679;;;;;;;
n8606;290115;bota;P1;s;;c;;burnt, roots;1;f;;;;EarlyRoman;;;;;;6;53,4;25,9;30;22,2;24,6;27,9;;;;;;;;;;;;;;;;;;
n10732;290432;oc;AS;;r;c;;burnt;4;;;;;NA1;;;;;;9;32,7;18,6;21,3;;;;;;;;;;;;0,0831839885012988;;;;;;;;;
n9298;290207;bota;AS;;l;c;;;0;;;12;120;NR;;;;;;7;66,7;44,5;36,8;;;;;;;;;;;;0,0317341444182951;;;;;;;;;
n3804;280123;equus;P3;s;;c;;;;f;;24;120;NA3;;;;;;4;83,8;76,9;35,4;;;;;;;;;;;;;;;;;;;;;
n2705;270060;oc;esc;coll + pala;l;c;si;roots;1;f;;9;120;NR;;;;;;2;19,7;31,4;20,7;25,9;;;;;;;;;;;;;;;;;;;;
n11627;***1030;oc;AS;;l;c;;roots;1;;;;;Vand;;;;;;10;29,7;15,6;19,7;;;;;;;;;;;;0,041392685158225;;;;;;;;;
n2735;270005;oc;AS;;l;c;;weathering;1;;;12;120;Vand;;;;;;2;34,6;19,5;21,9;;;;;;;;;;;;0,107712334633789;;;;;;;;;
n12075;190030;bota;AS;;l;lat;;weathering;3;;;;;EarlyRoman;;;;;;11;60,9;;;;;;;;;;;;;;-0,00777439686537855;;;;;;;;;
n3394;170049;ovar;mand;serie: p2-m3;r;c;;fissures, roots;2;m3 +;;24;36;Med;;;;;;3;23,9;8,2;54,1;26,5;80,3;14,7;20,1;36,6;;;;;;;;;;;;;;;;
