NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC;Length;Width;Depth
n12600;190019;oc;TI;s;r;c;;roots;1;f dist, nf prox;;15;42;indet;;;;;;11;;;;;;27,5;22,2;;;;;;;;;;;;;0,0362121726544447;0,0496877841891075;;;;;0,0362121726544447;0,0496877841891075
n2548;270127;oc;TI;diaf dist;r;c;si;burnt, roots;1;f;;15;120;NR;;;;;;2;;;;14;26,2;21;;;;;;;;;;;;;0,372978312533088;-0,0809012264418987;;;;;;-0,0809012264418987;0,372978312533088
n10481;290217;oc;RA;diaf prox;l;c;;burnt, weathering;1;f prox;;9;120;NA3;;;;;;8;;33,5;16,6;;;;;;;;;;;;;0,0436021785345402;;;;;;;;;;0,0436021785345402;
n1605;270063;bota;MC;diaf prox;r;c;si;fissures;2;;;12;120;NR;;;;;;1;;49;31,1;;;;;;;;;;;;;0,0340978780156818;0,0379155290183273;;;;;;;;;0,0340978780156818;0,0379155290183273
n6650;280315;oc;AS;;r;c;;weathering;1;;;9;120;Vand;;;;;;A;30,5;20,5;16,9;;;;;;;;;;;;0,0529360751877985;;;;;;;;;;0,0529360751877985;;
n10902;290432;bota;TI;diaf dist;l;c;;fissures;1;f;;30;120;NA1;;;;;;9;;;;;59,3;43,8;;;;;;;;;;;;;;-0,100464967225099;;;;;;-0,100464967225099;
n9817;290212;bota;RA;diaf prox;r;c;;fissures, roots;1;f prox;;12;120;NR;;;;;;8;;75;40,8;;;;;;;;;;;;;0,0123337350737254;0,0195955560633807;;;;;;;;;0,0123337350737254;0,0195955560633807
n3377;170049;bota;AS;;r;c;;roots;2;;;6;120;Med;;;;;;3;58,5;32,2;35,8;;;;;;;;;;;;-0,0252358234160734;;;;;;;;;;-0,0252358234160734;;
n12073;190030;bota;AS;;l;lat;;roots;2;;;;;EarlyRoman;;;;;;11;64,2;35,6;;;;;;;;;;;;;0,0151433385705995;;;;;;;;;;0,0151433385705995;;
n13337;***2315;bota;MC;diaf prox;r;c;;fissures;3;;;;;NR;;;;;;12;;54;33,1;;;;;;;;;;;;;0,0762955578101367;0,0649831337672086;;;;;;;;;0,0762955578101367;0,0649831337672086
n12052;190030;bota;P1 ant;gs;;c;;roots, fissures;2;f;;24;120;EarlyRoman;;;;;;11;59;30,5;31,8;23,7;28,7;21,8;;;;;;;;;0,0226639846359438;0,0371418080045666;0,0253058652647703;0,013020509992511;;-0,0765168543662131;;;;;0,0226639846359438;-0,0765168543662131;0,0253058652647703
n5500;280205;oc;AS;;r;c;;roots;1;;;9;120;NA3;;;;;;5;32,5;18,1;21,2;;;;;;;;;;;;0,0805195968198871;;;;;;;;;;0,0805195968198871;;
n4514;280435;oc;AS;;l;c;;roots;1;;;9;120;Vand;;;;;;4;30,9;16,6;19,1;;;;;;;;;;;;0,0585947152658473;;;;;;;;;;0,0585947152658473;;
n13138;***2079;ovar;HU;diaf dist;r;c;;;0;f;;6;120;NR;;;;;;12;;;;;;28,5;24,7;;13,8;;;;;;;;;;;;;;0,00315851924482979;;0,00315851924482979;;
n5504;280206;oc;TI;diaf dist;l;c;si;roots;1;fv dist;;15;16;NA3;;;;;;5;;;;14,6;26,7;20,1;;;;;;;;;;;;;0,381188282577918;-0,099924463755329;;;;;;-0,099924463755329;0,381188282577918
n9391;290425;oc;AS;;l;c;;carnivore;2;;;12;120;NA1;;;;;;7;33;20,2;17,8;;;;;;;;;;;;0,0871501757189002;;;;;;;;;;0,0871501757189002;;
n12625;190019;ovar;AS;;r;c;;roots;1;;;;;indet;;;;;;11;31,1;;;;;19,4;;;;;;;;;0,0613966248678502;;;;;0,037381727621332;;;;;0,0613966248678502;0,037381727621332;
