NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC
n1851;270211;sudo;skull;frontal;l;c;;weathering;1;nf;;2;6;Vand;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
n955;270118;bota;P1;s;;c;;roots;1;f;;24;120;NR;;;;;;1;59,8;31,5;34,1;25,7;31,5;22,2;;;;;;;;;;;;;;;;;;
n1301;270035;cafa;HU;s;l;c;;burnt, carnivore;1;f;;12;15;indet;;;;;;1;143,4;138,3;26,7;33,7;11;26,5;20,6;;19;;;;;;;;;;;;;;;
n3298;170077;oc;cox;acet + isquion;l;c;si;fissures, roots;2;f;fem;12;120;Med;;;;;;3;;;6,6;8,2;;;;;;;;;;;;;;;;;;;;
n8163;290109;oc;cox;s;l;c;;carnivore;1;nf;fem;24;48;NR;;;;;;6;28,8;25,3;5,6;8,2;14,7;;;;;;;;;;;;;;;;;;;
n9143;290208;bota;MT;ext prox;;c;;fissures;1;;;;;NR;;;;;;7;;43,1;41,4;;;;;;;;;;;;;0,0467663051418202;0,0315396116123982;;;;;;;
n5842;280337;oc;AS;;;sto;si;;0;;;4;12;NR;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
n3597;280112;oc;skull;hioide;l;c;;roots;1;;;6;120;NA3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
n1572;270063;oc;skull;max;l;c;;burnt;1;;;9;120;NR;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n684;270323;oc;RA;diaf;;sto;si;weathering, roots;1;;;9;120;Vand;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n12796;190022;oc;FE;diaf;;c;;weathering, roots;2;;;-1;0;indet;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;
n12063;190030;bota;P2;s;;c;;roots, weathering;1;f;;24;120;EarlyRoman;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;
n5609;280216;oc;FE;g-s;r;c;si;fissures, roots;1;f;;42;120;NA3;;;;;;5;187;182,5;44,9;20,5;16,4;;50,3;;;;;;;;;;;;;;;;;
n2158;270064;sudo;skull;max: m1-m2;l;;;roots;1;m2 +;;21;24;NR;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
n5831;280337;ovar;skull;banya;r;c;;roots;1;;;6;24;NR;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
n10762;290432;oc;dn;d4;l;c;;weathering;1;d4 ++;;4;9;NA1;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
n13301;***2314;oc;RA;diaf;;sto;;roots;1;;;;;NR;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;
n12195;190032;oc;RA;diaf;l;c;si;roots, fissures;2;;;;;EarlyRoman;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;
n8715;290409;bota;skull;max: p4-m3;r;c;si;fissures;2;m3 ++;;60;96;NA1;;;;;;6;27,5;24,5;;;;;;;;;;;;;;;;;;;;;;
n2471;270049;oc;carp;piramidal;l;c;;;;ja o a;;9;120;NR;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n1351;270054;bota;MC;diaf prox;l;c;;roots, carnivore;1;;;;;NR;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n8904;290419;bird;;;;;;;;;;;;NA2;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
n2531;270126;oc;carp;el mes informe dels ossos del carp;;c;;;0;;;;;NR;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
n5170;180128;oc;patella;;;c;;roots;1;;;;;EarlyRoman;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
n10910;290432;bota;MT;diaf prox;r;c;;fissures, weathering;1;;;24;120;NA1;;;;;;9;;43,7;40,5;;;;;;;;;;;;;0,0527704719515104;0,0219942937061679;;;;;;;
n11658;260069;oc;esc;pala;;sto;si;roots;1;;;;;Med;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
n8606;290115;bota;P1;s;;c;;burnt, roots;1;f;;;;EarlyRoman;;;;;;6;53,4;25,9;30;22,2;24,6;27,9;;;;;;;;;;;;;;;;;;
n10572;290125;sudo;dn;d4 inf;l;c;si;roots i fissures;1;;;;;NR;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;
n10391;170024;oc;MT;diaf prox;;sto;;fissures, weathering;2;;;;;Med;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
n1912;270300;sudo;ulna;diaf;l;c;;roots;3;nf;;1;3;Vand;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n10732;290432;oc;AS;;r;c;;burnt;4;;;;;NA1;;;;;;9;32,7;18,6;21,3;;;;;;;;;;;;0,0831839885012988;;;;;;;;;
n8228;290108;oc;ulna;diaf prox;l;c;;;0;nf;;6;36;EarlyRoman;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
n9298;290207;bota;AS;;l;c;;;0;;;12;120;NR;;;;;;7;66,7;44,5;36,8;;;;;;;;;;;;0,0317341444182951;;;;;;;;;
n8821;290314;oc;FE;diaf;l;c;;fissures, weathering, carnivore;1;;;9;120;NR;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;
n3804;280123;equus;P3;s;;c;;;;f;;24;120;NA3;;;;;;4;83,8;76,9;35,4;;;;;;;;;;;;;;;;;;;;;
n2169;270064;sudo;skull;frontal;l;c;;;;nf;;4;12;NR;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
n2705;270060;oc;esc;coll + pala;l;c;si;roots;1;f;;9;120;NR;;;;;;2;19,7;31,4;20,7;25,9;;;;;;;;;;;;;;;;;;;;
n11627;***1030;oc;AS;;l;c;;roots;1;;;;;Vand;;;;;;10;29,7;15,6;19,7;;;;;;;;;;;;0,041392685158225;;;;;;;;;
n2478;270049;oc;MC;ext prox;l;lat;;burnt;;;;9;120;NR;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n2735;270005;oc;AS;;l;c;;weathering;1;;;12;120;Vand;;;;;;2;34,6;19,5;21,9;;;;;;;;;;;;0,107712334633789;;;;;;;;;
n12075;190030;bota;AS;;l;lat;;weathering;3;;;;;EarlyRoman;;;;;;11;60,9;;;;;;;;;;;;;;-0,00777439686537855;;;;;;;;;
