NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n8715;290409;bota;skull;max: p4-m3;r;c;si;fissures;2;m3 ++;;60;96;NA1;;;;;;6;27,5;24,5;;;;;;;;;;;;
n10910;290432;bota;MT;diaf prox;r;c;;fissures, weathering;1;;;24;120;NA1;;;;;;9;;43,7;40,5;;;;;;;;;;;
n8606;290115;bota;P1;s;;c;;burnt, roots;1;f;;;;EarlyRoman;;;;;;6;53,4;25,9;30;22,2;24,6;27,9;;;;;;;;
n10732;290432;oc;AS;;r;c;;burnt;4;;;;;NA1;;;;;;9;32,7;18,6;21,3;;;;;;;;;;;
n9298;290207;bota;AS;;l;c;;;0;;;12;120;NR;;;;;;7;66,7;44,5;36,8;;;;;;;;;;;
n3804;280123;equus;P3;s;;c;;;;f;;24;120;NA3;;;;;;4;83,8;76,9;35,4;;;;;;;;;;;
n2705;270060;oc;esc;coll + pala;l;c;si;roots;1;f;;9;120;NR;;;;;;2;19,7;31,4;20,7;25,9;;;;;;;;;;
n11627;***1030;oc;AS;;l;c;;roots;1;;;;;Vand;;;;;;10;29,7;15,6;19,7;;;;;;;;;;;
n2735;270005;oc;AS;;l;c;;weathering;1;;;12;120;Vand;;;;;;2;34,6;19,5;21,9;;;;;;;;;;;
n12075;190030;bota;AS;;l;lat;;weathering;3;;;;;EarlyRoman;;;;;;11;60,9;;;;;;;;;;;;;
n3394;170049;ovar;mand;serie: p2-m3;r;c;;fissures, roots;2;m3 +;;24;36;Med;;;;;;3;23,9;8,2;54,1;26,5;80,3;14,7;20,1;36,6;;;;;;
n7422;180132;bota;P1;s;;c;;fissures, weathering;2;f;;24;120;indet;;;;;;B;53,3;29,3;34,6;26,6;30,8;22,2;;;;;;;;
n3656;280106;bota;MT;diaf dist;r;c;;roots;1;f;;24;120;NA3;;;;;;4;;;;;21;48,1;26,9;;;;;;;
n12670;***1040;oc;RA;ext prox;r;c;;roots;1;ec;;8;9;Med;;;;;;11;;31,1;16,4;;;;;;;;;;;
n12818;190022;bota;AS;;l;c;;weathering, roots;2;;;;;indet;;;;;;11;;;;;;36,2;;;;;;;;
n6102;280400;sudo;P1;s;;c;;roots;2;f;;24;72;Vand;;;;;;A;32,6;15;14,6;11,9;13;10;;;;;;;;
n3402;280134;bota;RA;diaf prox;l;c;si;fissures;2;f;;12;120;NA3;;;;;;4;;85;;43;;;;;;;;;;
n5048;180097;oc;AS;;r;c;;carnivore;1;;;9;120;EarlyRoman;;;;;;3;28,3;15,9;17,9;;;;;;;;;;;
n8977;290419;bota;P3;s;;;;fissures;1;;;9;120;NA2;;;;;;6;28,8;;;;;;;;;;;;;
n5734;280333;sudo;dn;m2 sup;r;c;;;0; +/-;;9;12;NR;;;;;;5;22,2;13,7;;;;;;;;;;;;
n9589;290427;oc;esc;coll + pala;r;c;;fissures, weathering;1;f;;9;120;NA1;;;;;;7;20,9;33;23,4;27,6;;;;;;;;;;
n8392;290307;sudo;P1;s;;c;;carnivore;1;f;;24;72;NA3;;;;;;6;33,6;15,4;16,4;11,6;13,4;9,1;;;;;;;;
n3797;280124;oc;esc;coll;r;c;si;fissures;1;f;;9;120;NA3;;;;;;4;;36,8;23,9;28,7;;;;;;;;;;
n8181;290109;bota;RA;diaf prox;r;c;;fissures, roots;2;f prox;;12;120;NR;;;;;;6;;68,7;32,9;;;;;;;;;;;
n1937;270300;oc;TI;diaf dist;r;c;si;roots;1;f;;15;120;Vand;;;;;;1;;;;;27;21,3;;;;;;;;
n3789;280124;gazella?;esc;g-s;r;c;si;;0;;;9;120;NA3;;;;;;4;21,5;;21,5;;;;;;;;;;;
n115;260003;ovar;mand;p3-m3;r;c;si;roots;2;m3 +/-;;18;24;LateRoman;;;;;;;;;27,1;;;18,5;24,6;;;;;;;
n1882;270211;oc;cox;g-s;l;c;;roots;1;nf;masc;9;42;Vand;;;;;;2;27,1;24,6;8,5;8;14,4;9,1;;;;;;;;
n503;160048;oc;MC;diaf prox;r;c;;roots i fissures;1;nf dist;;12;24;EarlyRoman;;;;;;;;26,1;19,3;15,9;11,1;;;;;;;;;
n3551;280118;equus;P2;s;;c;;fissures;2;f;;12;120;NA3;;;;;;4;46,3;50,7;30,5;43,3;48,7;25,4;;;;;;;;
n12866;***1065;ovar;AS;;r;c;;;0;;;;;EarlyRoman;;;;;;12;27,3;;;;;17,6;;;;;;;;
n12056;190030;bota;P1 ant;diaf prox;;c;;roots, fissures, weathering;2;f;;24;120;EarlyRoman;;;;;;11;;25,5;27,9;;;;;;;;;;;
n4111;280412;sudo;P1;s;;c;;roots;1;f;;24;72;Vand;;;;;;4;32,1;17;16,6;12,7;14,6;9,9;;;;;;;;
n843;160028;oc;HU;diaf dist;l;c;;fissures, roots;2;f;;9;120;Vand;;;;;;;;;;;;;23;29,1;;;;;;
n10855;290432;bota;esc;coll;r;c;si;fissures, roots;1;f;;9;120;NA1;;;;;;9;;64,6;51,3;44,9;;;;;;;;;;
n5704;280221;oc;AS;;l;c;;;0;;;9;120;NA3;;;;;;5;30;16,8;19;;;;;;;;;;;
n1001;270002;bota;MT;g-s;l;c;si;fissures, roots;2;f;;24;120;indet;;;;;;1;218;48,8;44,7;27,5;24,2;;;;;;;;;
n2394;270064;bota;TI;diaf dist;l;c;si;fissures;2;f dist;;24;120;NR;;;;;;2;;;;;55;44,5;;;;;;;;
n10901;290432;bota;TI;diaf dist;l;c;;fissures, burnt;3;f;;30;120;NA1;;;;;;9;;;;;56,1;41,1;;;;;;;;
n1604;270063;bota;patella;s;l;c;si;;;;;12;120;NR;;;;;;1;60,3;46,6;;;;;;;;;;;;
n7081;170007;bota;P1;s;;c;;roots;1;f;;24;120;Med;;;;;;C;54,3;27,9;30,1;22,2;23,3;18,7;;;;;;;;
n3037;180025;bota;AS;;l;c;;fissures, weathering;2;;;12;120;Indet;;;;;;3;60,3;33,5;38,8;;;;;;;;;;;
n382;260033;ovar;CA;;r;c;;;0;f;;18;72;indet;;;;;;;;;;66,7;21,3;18,8;;;;;;;;
n9124;290422;oc;esc;coll + pala;l;c;si;roots;2;f;;12;120;NA2;;;;;;7;18,6;35,9;22,7;;;;;;;;;;;
n12816;190022;bota;AS;;l;c;;roots;2;;;;;indet;;;;;;11;67,4;;;;;46;;;;;;;;
n10568;290227;bota;P3;s;;c;;;0;;;24;120;NA3;;;;;;9;70,1;25,3;;;;;;;;;;;;
n12600;190019;oc;TI;s;r;c;;roots;1;f dist, nf prox;;15;42;indet;;;;;;11;;;;;;27,5;22,2;;;;;;;
n9890;290214;equus;AS;talus;;c;;;0;;;9;120;NA3;;;;;;8;52,6;;;;;;;;;;;;;
