############################################################
## zoolog thesaurus for identifiers of reference values.
## Language Italian
## encoding UTF-8
############################################################
Taxon;Element;Fragment;Laterality;Measure;Standard;Country;Region;Site type;Site;Stratigraphic Unit;Year;Area;Feature;Chronology;Period;Phase;Comments
Taxon;Elemento;Frammento;Lateralità;Misura;Standard;Paese;Regione;Tipo di sito;Sito;Unità stratigrafica;Anno;Area;Struttura;Cronologia;Periodo;Fase;Commenti
Specie;Osso;Framm;Lato;Misurazione;;;;Tipo;;US;campagna;;Strutt.;Crono;;;Comms
Animale;EL;Porzione;;;;;;;;;Scavo;;;;;;
