NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n11780;***1018;sudo;carp;piramidal;;c;;roots;2;;;;;Vand;;;;;;10;;;;;;;;;;;;;;
n1523;270400;bota;P1;s;;c;;roots;1;f;;24;120;Med;;;;;;1;65;33;34,5;29,4;29,7;19,9;;;;;;;;
n8669;290409;oc;esc;pala;l;ant;si;weathering;1;;;6;120;NA1;;;;;;6;;;;;;;;;;;;;;
n4112;280412;sudo;P3;s;;c;;roots;1;;;12;72;Vand;;;;;;4;27,5;14,2;14,8;;;;;;;;;;;
n6587;280300;oc;mand;p2,p3,p4,m1;r;c;;roots;1;m1 M Grant;;48;120;Vand;;;;;;A;;;;;;;;;;;;;;
n216;160035;oc;FE;caput;;c;;weathering;1;f;;24;72;EarlyRoman;;;-125;-50;;;;;;;;;;;;;;;;
n5478;280203;sudo;ulna;diaf;r;c;;weathering, fissures, carnivore;1;;;;;NA3;;;;;;5;;;;;;;;;;;;;;
n4197;280413;oc;TI;epif prox;;c;;roots;1;nf;;12;42;Vand;;;;;;4;;;;;;;;;;;;;;
n13401;***2315;oc;MT;diaf;r;c;;carnivore, roots;2;;;;;NR;;;;;;12;;;;;;;;;;;;;;
n1904;270211;oc;P2;s;;c;;;;f;;12;120;Vand;;;;;;2;;;;;;;;;;;;;;
n9912;290120;sudo;esc;coll+pala;l;c;;;0;f;;12;72;NR;;;;;;8;;;;;;;;;;;;;;
n9541;290427;bota;vert;cervical;;c;si;fissures;2;f;;;;NA1;;;;;;7;;;;;;;;;;;;;;
n3832;260157;bota;cox;acetabul;r;c;;carnivore, roots;2;f;;24;120;indet;;;;;;4;71,1;;;;;;;;;;;;;
n2631;270055;oc;P2;s;;c;;;0;nf;;2;6;NR;;;;;;2;;;;;;;;;;;;;;
n3914;280408;sudo;P2;s;;c;;weathering;1;f;;24;72;Vand;;;;;;4;24,1;15;15,5;12,7;13;13;;;;;;;;
n9860;290432;bota;MC;s;l;c;;fissures, roots;1;fv elf 2;;0;1;NA1;;;;;;8;;;;;;;;;;;;;;
n7140;170084;ovar;mand;d2,d3,d4,m1;l;c;;roots;1;m1 C Grant;;3;9;Med;;;;;;C;;;;;;;;;;;;;;
n6400;280302;sudo;mp;s;;c;;roots;3;nf;;3;9;Vand;;;;;;A;;;;;;;;;;;;;;
n10931;290432;bota;TI;diaf;;sto;;fissures, roots;1;;;;;NA1;;;;;;9;;;;;;;;;;;;;;
n7515;180157;ovar;dn;m2 inf;l;c;;roots;1;F Grant;;18;24;indet;;;;;;B;;;;;;;;;;;;;;
n3917;280408;sudo;P3;s;;c;;weathering;1;f;;24;72;Vand;;;;;;4;28,4;12,6;15,8;;;;;;;;;;;
n1795;270320;bota;dn;p4 sup;l;c;;fissures;1; ++;;48;72;Vand;;;;;;1;;;;;;;;;;;;;;
