####################################################
## zoolog thesaurus for taxa.
## Language Portuguese
## encoding UTF-8
####################################################
Bos taurus;Bos primigenius;Bos;Ovis aries;Ovis orientalis;Ovis;Capra hircus;Capra aegagrus;Capra;Caprini;Sus domesticus;Sus scrofa;Sus;Cervus elaphus;Cervus;Dama mesopotamica;Dama;Gazella gazella;Gazella;Equus asinus;Equus caballus;Equus;Oryctolagus cuniculus;Oryctolagus;Canis familiaris;Canis lupus;Canis
Vaca;auroque;;ovelha doméstica;muflão asiático ;;cabra;cabra selvagem;;;porco doméstico ;javali;;veado vermelho;veado;gamo persa;gamo;gazela da montanha;gazela;asno;cavalo;;coelho europeu;coelho;cão;lobo;
Gado bovino doméstico;uro;;ovelha;muflão;;;;;;porco;;;cervo vermelho;;;;;;;;;;;;;

